행정구역별(읍면동),연령별,총인구(명)
남동구,15~19세,24370
남동구,20~24세,31535
남동구,25~29세,39194
남동구,30~34세,34818
남동구,35~39세,41446
남동구,40~44세,43593
남동구,45~49세,45605
부평구,15~19세,22217
부평구,20~24세,30516
부평구,25~29세,38676
부평구,30~34세,34396
부평구,35~39세,36874
부평구,40~44세,36503
부평구,45~49세,41477
계양구,15~19세,13694
계양구,20~24세,19884
계양구,25~29세,23269
계양구,30~34세,18296
계양구,35~39세,19437
계양구,40~44세,20393
계양구,45~49세,24963
서구,15~19세,26324
서구,20~24세,32176
서구,25~29세,39391
서구,30~34세,37294
서구,35~39세,46011
서구,40~44세,46533
서구,45~49세,48961
미추홀구,15~19세,17586
미추홀구,20~24세,29219
미추홀구,25~29세,31427
미추홀구,30~34세,26518
미추홀구,35~39세,29851
미추홀구,40~44세,29636
미추홀구,45~49세,32631
강화군,15~19세,2326
강화군,20~24세,2349
강화군,25~29세,2682
강화군,30~34세,2408
강화군,35~39세,2841
강화군,40~44세,3153
강화군,45~49세,4104
옹진군,15~19세,486
옹진군,20~24세,1191
옹진군,25~29세,1294
옹진군,30~34세,941
옹진군,35~39세,953
옹진군,40~44세,1108
옹진군,45~49세,1236
동구,15~19세,4438
동구,20~24세,9492
동구,25~29세,8165
동구,30~34세,6538
동구,35~39세,7127
동구,40~44세,6498
동구,45~49세,7197
서구,15~19세,15843
서구,20~24세,21159
서구,25~29세,22031
서구,30~34세,16855
서구,35~39세,20135
서구,40~44세,22540
서구,45~49세,26779
남구,15~19세,11448
남구,20~24세,14808
남구,25~29세,13532
남구,30~34세,10825
남구,35~39세,14688
남구,40~44세,16238
남구,45~49세,17499
북구,15~19세,23499
북구,20~24세,34630
북구,25~29세,32880
북구,30~34세,26026
북구,35~39세,30522
북구,40~44세,31723
북구,45~49세,35940
광산구,15~19세,26549
광산구,20~24세,33763
광산구,25~29세,30358
광산구,30~34세,25865
광산구,35~39세,33748
광산구,40~44세,38101
광산구,45~49세,41545
동구,15~19세,13847
동구,20~24세,23217
동구,25~29세,15431
동구,30~34세,11746
동구,35~39세,14313
동구,40~44세,15583
동구,45~49세,17920
중구,15~19세,11609
중구,20~24세,14915
중구,25~29세,15476
중구,30~34세,12102
중구,35~39세,13950
중구,40~44세,16559
중구,45~49세,19443
서구,15~19세,27155
서구,20~24세,38311
서구,25~29세,38416
서구,30~34세,31206
서구,35~39세,34499
서구,40~44세,36092
서구,45~49세,41453
유성구,15~19세,21677
유성구,20~24세,33237
유성구,25~29세,31631
유성구,30~34세,27882
유성구,35~39세,30094
유성구,40~44세,29635
유성구,45~49세,31143
대덕구,15~19세,9286
대덕구,20~24세,13556
대덕구,25~29세,12248
대덕구,30~34세,9690
대덕구,35~39세,10607
대덕구,40~44세,11934
대덕구,45~49세,15172
읍부,15~19세,9872
읍부,20~24세,11680
읍부,25~29세,12024
읍부,30~34세,11038
읍부,35~39세,13611
읍부,40~44세,15563
읍부,45~49세,18725
면부,15~19세,1172
면부,20~24세,1834
면부,25~29세,1900
면부,30~34세,1719
면부,35~39세,1718
면부,40~44세,1686
면부,45~49세,2117
동부,15~19세,43001
동부,20~24세,54446
동부,25~29세,61788
동부,30~34세,58185
동부,35~39세,71246
동부,40~44세,72952
동부,45~49세,77294
중구,15~19세,9461
중구,20~24세,12024
중구,25~29세,13679
중구,30~34세,11941
중구,35~39세,14731
중구,40~44세,15961
중구,45~49세,18002
남구,15~19세,15282
남구,20~24세,22000
남구,25~29세,23884
남구,30~34세,20540
남구,35~39세,22484
남구,40~44세,23258
남구,45~49세,28177
동구,15~19세,7295
동구,20~24세,8348
동구,25~29세,9761
동구,30~34세,10393
동구,35~39세,14298
동구,40~44세,13808
동구,45~49세,12705
북구,15~19세,10963
북구,20~24세,12074
북구,25~29세,14464
북구,30~34세,15311
북구,35~39세,19733
북구,40~44세,19925
북구,45~49세,18410
울주군,15~19세,11044
울주군,20~24세,13514
울주군,25~29세,13924
울주군,30~34세,12757
울주군,35~39세,15329
울주군,40~44세,17249
울주군,45~49세,20842
읍부,15~19세,3164
읍부,20~24세,6527
읍부,25~29세,3874
읍부,30~34세,2700
읍부,35~39세,3012
읍부,40~44세,3309
읍부,45~49세,3701
면부,15~19세,2274
면부,20~24세,5585
면부,25~29세,4281
면부,30~34세,2889
면부,35~39세,2620
면부,40~44세,2649
면부,45~49세,3281
동부,15~19세,13561
동부,20~24세,9542
동부,25~29세,13071
동부,30~34세,20485
동부,35~39세,29367
동부,40~44세,29283
동부,45~49세,24453
세종시,15~19세,18999
세종시,20~24세,21654
세종시,25~29세,21226
세종시,30~34세,26074
세종시,35~39세,34999
세종시,40~44세,35241
세종시,45~49세,31435
읍부,15~19세,73933
읍부,20~24세,89199
읍부,25~29세,100687
읍부,30~34세,96122
읍부,35~39세,118449
읍부,40~44세,125657
읍부,45~49세,133117
면부,15~19세,33064
면부,20~24세,46008
면부,25~29세,62131
면부,30~34세,55476
면부,35~39세,52670
면부,40~44세,49646
면부,45~49세,54434
동부,15~19세,547525
동부,20~24세,712439
동부,25~29세,817978
동부,30~34세,767456
동부,35~39세,912620
동부,40~44세,932482
동부,45~49세,1008060
수원시,15~19세,61253
수원시,20~24세,87071
수원시,25~29세,102107
수원시,30~34세,89116
수원시,35~39세,97263
수원시,40~44세,98782
수원시,45~49세,106400
장안구,15~19세,15827
장안구,20~24세,23412
장안구,25~29세,22391
장안구,30~34세,15997
장안구,35~39세,17777
장안구,40~44세,20542
장안구,45~49세,25001
권선구,15~19세,16432
권선구,20~24세,23655
권선구,25~29세,29910
권선구,30~34세,27999
권선구,35~39세,32539
권선구,40~44세,30914
권선구,45~49세,31510
팔달구,15~19세,7483
팔달구,20~24세,12238
팔달구,25~29세,16735
팔달구,30~34세,14305
팔달구,35~39세,13561
팔달구,40~44세,13585
팔달구,45~49세,16083
영통구,15~19세,21511
영통구,20~24세,27766
영통구,25~29세,33071
영통구,30~34세,30815
영통구,35~39세,33386
영통구,40~44세,33741
영통구,45~49세,33806
성남시,15~19세,43427
성남시,20~24세,57930
성남시,25~29세,70380
성남시,30~34세,64612
성남시,35~39세,70293
성남시,40~44세,71977
성남시,45~49세,81842
수정구,15~19세,9710
