"시점","행정구역(시군구)별","성별",계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
"2020","금천구","여자",112748,3003.5,3399,3319.5,4161,7380.5,10527.5,8055.5,7684,7088,8609,9715.5,10208.5,9360,6776.5,5244,3982,4234,2423.5,1810.5,1222.5,470,99.5,18.5
"2020","영등포구","계",366258,12830,12781.5,11277,13174.5,21671.5,35861.5,34426.5,32554,26836.5,28001,27413.5,27447.5,25687,18600.5,14712.5,11147.5,11835.5,7187.5,4648,3297,1063,259,29
"2020","영등포구","남자",181332,6533.5,6491,5897.5,6920.5,10165,17020.5,17486.5,16998,13781.5,14375.5,13824.5,13857,12568.5,8932,6949,4999,4532.5,3042.5,1490,1143.5,281,62,3.5
"2020","영등포구","여자",184926,6296.5,6290.5,5379.5,6254,11506.5,18841,16940,15556,13055,13625.5,13589,13590.5,13118.5,9668.5,7763.5,6148.5,7303,4145,3158,2153.5,782,197,25.5
"2020","동작구","계",387858.5,11700,13855,13156.5,15381,27760.5,38372,31712.5,30938.5,28503.5,30269.5,28908,28632.5,27164,20038,16374.5,12343,12749.5,7675.5,5074,3489.5,1251,291.5,42
"2020","동작구","남자",187886,5950.5,7078,6790.5,7868.5,13070,19039,16047,15641,14311.5,15153,13908.5,13595.5,12599.5,9144,7210,5706,4773.5,3175,1598.5,1191.5,326.5,68.5,12
"2020","동작구","여자",199972.5,5749.5,6777,6366,7512.5,14690.5,19333,15665.5,15297.5,14192,15116.5,14999.5,15037,14564.5,10894,9164.5,6637,7976,4500.5,3475.5,2298,924.5,223,30
"2020","관악구","계",489798.5,10833,12872.5,12957.5,16558,39275,68411,48260,38692,32750,35438,33593.5,33476.5,32261,24836.5,20391.5,15530,13662.5,8699,4963.5,3479,1187.5,252.5,44.5
"2020","관악구","남자",245687,5592,6604.5,6680,8475.5,17388,35201,26688,21125.5,17538.5,18793.5,16878.5,16371,15091.5,11443.5,9340.5,7174.5,5301,3758,1543,1220,271.5,46,5.5
"2020","관악구","여자",244111.5,5241,6268,6277.5,8082.5,21887,33210,21572,17566.5,15211.5,16644.5,16715,17105.5,17169.5,13393,11051,8355.5,8361.5,4941,3420.5,2259,916,206.5,39
"2020","서초구","계",419614,13902.5,20972,22642,22784.5,25155,30068,29876,34206.5,36312.5,40042.5,33256,28018,26175.5,19405.5,15555.5,10482,10760,6104,4656,3015,1292,310.5,38.5
